Timestamp,ForwardX,ForwardY,ForwardZ,EulerAngleX,EulerAngleY,EulerAngleZ
2.8890,0.211337,0.348479,0.913181,339.605700,13.030550,355.036400
2.9022,0.206289,0.355518,0.911620,339.174800,12.750640,355.097300
2.9178,0.202215,0.361160,0.910314,338.828500,12.524210,355.065100
2.9325,0.198271,0.365747,0.909350,338.546400,12.300040,354.983000
2.9456,0.194389,0.370672,0.908193,338.242900,12.081270,354.913200
2.9603,0.190880,0.374720,0.907276,337.993000,11.881090,354.853600
2.9720,0.187822,0.378245,0.906451,337.775000,11.706340,354.758500
2.9866,0.185084,0.380304,0.906153,337.647500,11.543990,354.680200
3.0003,0.181914,0.382826,0.905733,337.491200,11.356630,354.616200
3.0139,0.179031,0.384095,0.905770,337.412400,11.180780,354.619500
3.0286,0.175898,0.383611,0.906589,337.442500,10.980180,354.666900
3.0418,0.172716,0.384147,0.906973,337.409200,10.781780,354.691000
3.0563,0.169383,0.385738,0.906927,337.310500,10.579040,354.715400
3.0693,0.166936,0.383492,0.908332,337.449900,10.413810,354.768200
3.0847,0.163823,0.384004,0.908682,337.418100,10.219830,354.792100
3.0978,0.160228,0.386481,0.908273,337.264300,10.004590,354.820900
3.1125,0.156718,0.389174,0.907735,337.096900,9.795393,354.904900
3.1257,0.154069,0.392014,0.906967,336.920200,9.640935,354.987900
3.1412,0.152400,0.394985,0.905959,336.735000,9.548841,355.073700
3.1528,0.151166,0.397954,0.904865,336.549700,9.484170,355.154000
3.1669,0.150037,0.400173,0.904075,336.411000,9.422706,355.160000
3.1837,0.148284,0.402197,0.903465,336.284400,9.320756,355.177500
3.1955,0.147119,0.403868,0.902910,336.179800,9.254341,355.069600
3.2099,0.145391,0.405578,0.902423,336.072700,9.152394,355.014900
3.2230,0.143306,0.405187,0.902932,336.097200,9.018316,355.022100
3.2361,0.141649,0.403530,0.903935,336.201000,8.905983,355.051800
3.2506,0.140266,0.402462,0.904627,336.267800,8.813780,355.104300
3.2653,0.139172,0.401693,0.905137,336.315900,8.741206,355.145700
3.2811,0.138043,0.398946,0.906525,336.487700,8.658298,355.247700
3.2930,0.136251,0.398870,0.906829,336.492500,8.544789,355.324100
3.3061,0.134724,0.400920,0.906153,336.364300,8.456584,355.426900
3.3205,0.133487,0.401019,0.906292,336.358100,8.378819,355.538500
3.3338,0.133337,0.401370,0.906158,336.336100,8.370747,355.567600
3.3485,0.134466,0.401373,0.905990,336.336000,8.442151,355.500200
3.3638,0.135618,0.400900,0.906028,336.365500,8.513040,355.371200
3.3797,0.135849,0.400979,0.905959,336.360600,8.528008,355.299000
3.3904,0.137715,0.401210,0.905574,336.346200,8.647006,355.175800
